step,episode,reward,length
223674,242,-20.000000,917
224819,243,-19.000000,1145
225750,244,-20.000000,931
226648,245,-20.000000,898
227560,246,-21.000000,912
228426,247,-21.000000,866
229303,248,-21.000000,877
230216,249,-20.000000,913
231163,250,-20.000000,947
232024,251,-20.000000,861
232783,252,-21.000000,759
233756,253,-20.000000,973
234548,254,-21.000000,792
235567,255,-20.000000,1019
236389,256,-21.000000,822
237272,257,-21.000000,883
238123,258,-21.000000,851
239142,259,-21.000000,1019
240136,260,-20.000000,994
241124,261,-21.000000,988
242086,262,-19.000000,962
243013,263,-20.000000,927
243880,264,-20.000000,867
244749,265,-21.000000,869
245567,266,-21.000000,818
246392,267,-21.000000,825
247302,268,-19.000000,910
248137,269,-20.000000,835
249095,270,-20.000000,958
249946,271,-21.000000,851
250732,272,-21.000000,786
251552,273,-21.000000,820
252632,274,-21.000000,1080
253515,275,-20.000000,883
254417,276,-21.000000,902
255395,277,-20.000000,978
256310,278,-21.000000,915
257210,279,-21.000000,900
258484,280,-17.000000,1274
259530,281,-19.000000,1046
260672,282,-21.000000,1142
261581,283,-21.000000,909
262565,284,-20.000000,984
263475,285,-21.000000,910
264499,286,-18.000000,1024
265513,287,-21.000000,1014
266420,288,-21.000000,907
267273,289,-21.000000,853
268115,290,-21.000000,842
268963,291,-21.000000,848
269990,292,-21.000000,1027
271045,293,-20.000000,1055
271859,294,-21.000000,814
272669,295,-21.000000,810
273459,296,-21.000000,790
274359,297,-21.000000,900
275229,298,-21.000000,870
276126,299,-20.000000,897
276977,300,-21.000000,851
277888,301,-21.000000,911
278683,302,-21.000000,795
279461,303,-21.000000,778
280348,304,-20.000000,887
281311,305,-19.000000,963
282236,306,-20.000000,925
283085,307,-21.000000,849
283975,308,-20.000000,890
284889,309,-20.000000,914
286136,310,-18.000000,1247
287043,311,-21.000000,907
288011,312,-21.000000,968
289105,313,-20.000000,1094
290097,314,-20.000000,992
290921,315,-21.000000,824
291938,316,-19.000000,1017
292808,317,-21.000000,870
293864,318,-20.000000,1056
294794,319,-20.000000,930
295553,320,-21.000000,759
296508,321,-19.000000,955
297284,322,-21.000000,776
298136,323,-21.000000,852
299236,324,-19.000000,1100
300316,325,-18.000000,1080
301196,326,-21.000000,880
302169,327,-19.000000,973
303048,328,-21.000000,879
303991,329,-20.000000,943
305162,330,-18.000000,1171
306066,331,-21.000000,904
307062,332,-21.000000,996
308085,333,-19.000000,1023
309312,334,-20.000000,1227
310192,335,-21.000000,880
311047,336,-21.000000,855
312108,337,-18.000000,1061
313294,338,-19.000000,1186
314203,339,-21.000000,909
315140,340,-20.000000,937
315957,341,-21.000000,817
316985,342,-19.000000,1028
317896,343,-21.000000,911
318659,344,-21.000000,763
319544,345,-20.000000,885
320734,346,-19.000000,1190
322061,347,-17.000000,1327
323082,348,-19.000000,1021
324054,349,-20.000000,972
325349,350,-16.000000,1295
326667,351,-20.000000,1318
328009,352,-18.000000,1342
328975,353,-19.000000,966
330016,354,-21.000000,1041
330936,355,-21.000000,920
331879,356,-20.000000,943
