step,episode,reward,length
22220,127,1.000000,136
22389,128,1.000000,169
22480,129,2.000000,91
22743,130,3.000000,263
23246,131,13.000000,503
23349,132,3.000000,103
23407,133,1.000000,58
23587,134,5.000000,180
23693,135,0.000000,106
23785,136,0.000000,92
24049,137,7.000000,264
24130,138,0.000000,81
24331,139,5.000000,201
24671,140,10.000000,340
24809,141,3.000000,138
25608,142,21.000000,799
25758,143,4.000000,150
25828,144,2.000000,70
25908,145,1.000000,80
26067,146,2.000000,159
26318,147,4.000000,251
26519,148,3.000000,201
26776,149,4.000000,257
26948,150,2.000000,172
27036,151,2.000000,88
27242,152,5.000000,206
27372,153,1.000000,130
27694,154,8.000000,322
27916,155,8.000000,222
28026,156,3.000000,110
28719,157,13.000000,693
28812,158,0.000000,93
29083,159,5.000000,271
29160,160,1.000000,77
29589,161,14.000000,429
29784,162,3.000000,195
29938,163,4.000000,154
30061,164,1.000000,123
30157,165,4.000000,96
30298,166,2.000000,141
30406,167,1.000000,108
30475,168,2.000000,69
30590,169,3.000000,115
30929,170,8.000000,339
31046,171,3.000000,117
31661,172,2.000000,615
31856,173,6.000000,195
32045,174,2.000000,189
32370,175,11.000000,325
32546,176,3.000000,176
32705,177,5.000000,159
32928,178,2.000000,223
33108,179,4.000000,180
33323,180,3.000000,215
33418,181,0.000000,95
33632,182,5.000000,214
33769,183,1.000000,137
33954,184,5.000000,185
34121,185,3.000000,167
34216,186,3.000000,95
34324,187,2.000000,108
34432,188,1.000000,108
34535,189,4.000000,103
34839,190,7.000000,304
35137,191,4.000000,298
35252,192,2.000000,115
35348,193,3.000000,96
35510,194,3.000000,162
35605,195,2.000000,95
35796,196,2.000000,191
35962,197,6.000000,166
36160,198,5.000000,198
36232,199,1.000000,72
36380,200,2.000000,148
36576,201,3.000000,196
36715,202,1.000000,139
36860,203,1.000000,145
36934,204,3.000000,74
37010,205,2.000000,76
37191,206,5.000000,181
37334,207,1.000000,143
37439,208,1.000000,105
37686,209,6.000000,247
37772,210,0.000000,86
37833,211,0.000000,61
37986,212,4.000000,153
38081,213,2.000000,95
38252,214,3.000000,171
38428,215,5.000000,176
38491,216,1.000000,63
38591,217,2.000000,100
38774,218,5.000000,183
38906,219,2.000000,132
38979,220,0.000000,73
39123,221,2.000000,144
39184,222,2.000000,61
39245,223,1.000000,61
39451,224,7.000000,206
39579,225,0.000000,128
39805,226,8.000000,226
39996,227,6.000000,191
40252,228,4.000000,256
40383,229,2.000000,131
40540,230,6.000000,157
40602,231,1.000000,62
40980,232,5.000000,378
41127,233,1.000000,147
41222,234,3.000000,95
41318,235,0.000000,96
41412,236,1.000000,94
41519,237,3.000000,107
41620,238,3.000000,101
41752,239,1.000000,132
41816,240,2.000000,64
41890,241,2.000000,74
42064,242,3.000000,174
42126,243,1.000000,62
42339,244,3.000000,213
42492,245,4.000000,153
42556,246,1.000000,64
42796,247,5.000000,240
43061,248,3.000000,265
43421,249,5.000000,360
43512,250,4.000000,91
43658,251,1.000000,146
43727,252,2.000000,69
43798,253,0.000000,71
43993,254,5.000000,195
44497,255,10.000000,504
44623,256,0.000000,126
44843,257,7.000000,220
45236,258,10.000000,393
45354,259,1.000000,118
45506,260,2.000000,152
45659,261,2.000000,153
45728,262,1.000000,69
45828,263,0.000000,100
45969,264,4.000000,141
46274,265,5.000000,305
46422,266,4.000000,148
46485,267,2.000000,63
46557,268,1.000000,72
46763,269,3.000000,206
46895,270,2.000000,132
47215,271,6.000000,320
47373,272,3.000000,158
47450,273,3.000000,77
47535,274,0.000000,85
47718,275,5.000000,183
47858,276,4.000000,140
47982,277,1.000000,124
48179,278,3.000000,197
48268,279,0.000000,89
48346,280,0.000000,78
48495,281,3.000000,149
48556,282,2.000000,61
48710,283,1.000000,154
48911,284,5.000000,201
49024,285,1.000000,113
49138,286,2.000000,114
49239,287,0.000000,101
49709,288,16.000000,470
49929,289,2.000000,220
50108,290,6.000000,179
50181,291,1.000000,73
50264,292,1.000000,83
50402,293,4.000000,138
50482,294,2.000000,80
50551,295,2.000000,69
50774,296,4.000000,223
50875,297,1.000000,101
51274,298,13.000000,399
51564,299,8.000000,290
51698,300,2.000000,134
51838,301,2.000000,140
52094,302,7.000000,256
52273,303,1.000000,179
52346,304,2.000000,73
52499,305,2.000000,153
52561,306,2.000000,62
52632,307,1.000000,71
52825,308,4.000000,193
52955,309,3.000000,130
53253,310,9.000000,298
53633,311,7.000000,380
53697,312,2.000000,64
53955,313,2.000000,258
54101,314,1.000000,146
54454,315,11.000000,353
54550,316,2.000000,96
54744,317,4.000000,194
55175,318,13.000000,431
55262,319,2.000000,87
55553,320,3.000000,291
55628,321,0.000000,75
55714,322,3.000000,86
55884,323,3.000000,170
56015,324,2.000000,131
56121,325,1.000000,106
56263,326,1.000000,142
56355,327,3.000000,92
56446,328,0.000000,91
56596,329,2.000000,150
56901,330,6.000000,305
56969,331,0.000000,68
57111,332,3.000000,142
57345,333,4.000000,234
57567,334,5.000000,222
57753,335,2.000000,186
57942,336,5.000000,189
58023,337,1.000000,81
58144,338,1.000000,121
58278,339,4.000000,134
58406,340,1.000000,128
58701,341,6.000000,295
58793,342,0.000000,92
59011,343,7.000000,218
59221,344,8.000000,210
59328,345,1.000000,107
59406,346,1.000000,78
59547,347,0.000000,141
59621,348,1.000000,74
59795,349,0.000000,174
59984,350,3.000000,189
60389,351,5.000000,405
60485,352,2.000000,96
60605,353,2.000000,120
60712,354,4.000000,107
60850,355,2.000000,138
61039,356,4.000000,189
61131,357,0.000000,92
61287,358,3.000000,156
61455,359,2.000000,168
61560,360,2.000000,105
61780,361,5.000000,220
61972,362,2.000000,192
62228,363,4.000000,256
62293,364,0.000000,65
62557,365,5.000000,264
62721,366,2.000000,164
62874,367,2.000000,153
63039,368,4.000000,165
63161,369,2.000000,122
63260,370,0.000000,99
63407,371,0.000000,147
63469,372,2.000000,62
63540,373,2.000000,71
63682,374,0.000000,142
63743,375,2.000000,61
63817,376,2.000000,74
64024,377,5.000000,207
64245,378,4.000000,221
64341,379,1.000000,96
64499,380,5.000000,158
64595,381,2.000000,96
64675,382,0.000000,80
64828,383,4.000000,153
64908,384,1.000000,80
65366,385,8.000000,458
65538,386,3.000000,172
65713,387,2.000000,175
65836,388,0.000000,123
65979,389,1.000000,143
66074,390,4.000000,95
66277,391,2.000000,203
66416,392,0.000000,139
66682,393,2.000000,266
66755,394,1.000000,73
66956,395,4.000000,201
67138,396,2.000000,182
67379,397,4.000000,241
67586,398,7.000000,207
67919,399,4.000000,333
67991,400,1.000000,72
68637,401,16.000000,646
68820,402,3.000000,183
68835,403,0.000000,15
69074,404,3.000000,239
69351,405,8.000000,277
69615,406,2.000000,264
69755,407,2.000000,140
69860,408,4.000000,105
70024,409,2.000000,164
70196,410,4.000000,172
70689,411,8.000000,493
71129,412,0.000000,440
71282,413,4.000000,153
71378,414,4.000000,96
71617,415,2.000000,239
71794,416,4.000000,177
71885,417,2.000000,91
72197,418,4.000000,312
72352,419,3.000000,155
72614,420,6.000000,262
72775,421,3.000000,161
72934,422,4.000000,159
73013,423,2.000000,79
73214,424,1.000000,201
73405,425,6.000000,191
73536,426,3.000000,131
73689,427,3.000000,153
73812,428,2.000000,123
73941,429,4.000000,129
74054,430,1.000000,113
74150,431,0.000000,96
74288,432,4.000000,138
74490,433,4.000000,202
74820,434,5.000000,330
74905,435,1.000000,85
75140,436,4.000000,235
75330,437,6.000000,190
75487,438,3.000000,157
75663,439,2.000000,176
76152,440,16.000000,489
76305,441,2.000000,153
76494,442,3.000000,189
76650,443,0.000000,156
76712,444,2.000000,62
76783,445,1.000000,71
76935,446,4.000000,152
77192,447,6.000000,257
77269,448,2.000000,77
77546,449,8.000000,277
77611,450,0.000000,65
77724,451,2.000000,113
77877,452,3.000000,153
77938,453,2.000000,61
78010,454,1.000000,72
78195,455,5.000000,185
78498,456,5.000000,303
78564,457,0.000000,66
78938,458,7.000000,374
79457,459,11.000000,519
79566,460,2.000000,109
79842,461,11.000000,276
79968,462,1.000000,126
80099,463,3.000000,131
80330,464,5.000000,231
80438,465,2.000000,108
80604,466,1.000000,166
80751,467,1.000000,147
80826,468,1.000000,75
80931,469,3.000000,105
81228,470,5.000000,297
81491,471,10.000000,263
81899,472,7.000000,408
82039,473,0.000000,140
82242,474,5.000000,203
82325,475,1.000000,83
82503,476,4.000000,178
82565,477,1.000000,62
82666,478,3.000000,101
82849,479,5.000000,183
82943,480,0.000000,94
83046,481,4.000000,103
83193,482,2.000000,147
83292,483,3.000000,99
83427,484,0.000000,135
83618,485,3.000000,191
83848,486,3.000000,230
84307,487,9.000000,459
84482,488,1.000000,175
84544,489,1.000000,62
84683,490,1.000000,139
84851,491,5.000000,168
84932,492,2.000000,81
85140,493,0.000000,208
85289,494,1.000000,149
85394,495,3.000000,105
85578,496,2.000000,184
86062,497,7.000000,484
86130,498,1.000000,68
86190,499,2.000000,60
86341,500,3.000000,151
86483,501,3.000000,142
86596,502,2.000000,113
86759,503,0.000000,163
86821,504,2.000000,62
86892,505,2.000000,71
87132,506,6.000000,240
87210,507,0.000000,78
87389,508,0.000000,179
87531,509,1.000000,142
87821,510,6.000000,290
87948,511,5.000000,127
88090,512,1.000000,142
88152,513,1.000000,62
88314,514,2.000000,162
88814,515,15.000000,500
89053,516,4.000000,239
89132,517,2.000000,79
89282,518,2.000000,150
89354,519,2.000000,72
89435,520,0.000000,81
89586,521,4.000000,151
89691,522,3.000000,105
89825,523,1.000000,134
