step,episode,reward,length
153,1,2.000000,153
221,2,3.000000,68
300,3,2.000000,79
523,4,6.000000,223
678,5,1.000000,155
813,6,3.000000,135
1119,7,6.000000,306
1223,8,1.000000,104
1338,9,0.000000,115
1567,10,7.000000,229
1770,11,3.000000,203
1888,12,1.000000,118
2072,13,5.000000,184
2416,14,3.000000,344
2485,15,2.000000,69
2633,16,3.000000,148
2694,17,2.000000,61
2765,18,1.000000,71
2926,19,3.000000,161
3091,20,1.000000,165
3191,21,1.000000,100
3418,22,5.000000,227
3481,23,0.000000,63
3855,24,10.000000,374
4003,25,4.000000,148
4073,26,2.000000,70
4153,27,1.000000,80
4336,28,5.000000,183
4493,29,2.000000,157
4640,30,1.000000,147
4844,31,5.000000,204
4927,32,0.000000,83
5017,33,0.000000,90
5570,34,15.000000,553
5627,35,2.000000,57
5746,36,1.000000,119
5929,37,6.000000,183
6014,38,0.000000,85
6136,39,1.000000,122
6284,40,1.000000,148
6359,41,3.000000,75
6487,42,2.000000,128
6794,43,11.000000,307
6919,44,1.000000,125
7002,45,1.000000,83
7184,46,3.000000,182
7284,47,2.000000,100
7586,48,10.000000,302
7789,49,4.000000,203
8232,50,7.000000,443
8312,51,1.000000,80
8629,52,6.000000,317
8809,53,4.000000,180
8912,54,2.000000,103
9235,55,10.000000,323
9507,56,3.000000,272
9694,57,4.000000,187
9876,58,2.000000,182
10008,59,0.000000,132
10091,60,1.000000,83
10221,61,3.000000,130
10394,62,5.000000,173
10500,63,0.000000,106
10650,64,4.000000,150
10714,65,2.000000,64
10857,66,4.000000,143
11018,67,4.000000,161
11395,68,9.000000,377
11649,69,4.000000,254
11766,70,0.000000,117
11873,71,5.000000,107
12119,72,1.000000,246
12276,73,2.000000,157
12337,74,2.000000,61
12409,75,2.000000,72
12607,76,8.000000,198
12846,77,1.000000,239
13099,78,6.000000,253
13350,79,7.000000,251
13538,80,0.000000,188
13687,81,3.000000,149
14395,82,21.000000,708
14780,83,14.000000,385
14955,84,5.000000,175
15064,85,2.000000,109
15450,86,5.000000,386
15532,87,1.000000,82
15859,88,12.000000,327
16000,89,4.000000,141
16066,90,1.000000,66
16339,91,9.000000,273
16518,92,3.000000,179
16612,93,2.000000,94
16720,94,0.000000,108
16919,95,6.000000,199
17109,96,0.000000,190
17178,97,0.000000,69
17331,98,2.000000,153
17402,99,2.000000,71
17569,100,0.000000,167
18023,101,14.000000,454
18139,102,2.000000,116
18215,103,0.000000,76
18459,104,5.000000,244
18618,105,2.000000,159
18687,106,2.000000,69
18873,107,5.000000,186
18954,108,0.000000,81
19127,109,1.000000,173
19284,110,2.000000,157
19552,111,7.000000,268
19654,112,3.000000,102
20071,113,7.000000,417
20210,114,5.000000,139
20468,115,4.000000,258
20627,116,2.000000,159
20783,117,4.000000,156
20853,118,0.000000,70
20961,119,3.000000,108
21043,120,1.000000,82
21115,121,1.000000,72
21283,122,5.000000,168
21346,123,2.000000,63
21453,124,0.000000,107
21858,125,13.000000,405
22084,126,3.000000,226
